word|pos|firsttime|lasttime|counter|entries|examples|translation
welch|DET|2021/04/17|2021/04/17|1|welcher, welche, welches|1. Welcher Tag ist heute? 2. Welchen Kurs hast du gemacht?|1. Which day is today? 2. Which course did you do? 
Eigenschaft|NOUN|2021/04/17|2021/04/17|1|||
haben|AUX|2021/04/17|2021/04/17|1|||
Mensch|NOUN|2021/04/17|2021/04/17|1|der Mensch, -en|Die Menschen sind hier ein bisschen anders als im Süden.|People are a bit different here than in the south. 
der|PRON|2021/04/17|2021/04/17|1|||
sich|PRON|2021/04/17|2021/04/17|1|||
durch|ADP|2021/04/17|2021/04/17|1|||
innovative|ADJ|2021/04/17|2021/04/17|1|||
Idee|NOUN|2021/04/17|2021/04/17|1|die Idee, -n|Du willst ein Picknick machen? Ich finde die Idee toll.|You want to make a picnic? I think the idea is great. 
auszeichnen|VERB|2021/04/17|2021/04/17|1|||
Was|PRON|2021/04/17|2021/04/17|1|das Wasser|1. Kann ich bitte ein Glas Wasser haben? 2. Eine Cola und zwei Wasser, bitte! 3. Gibt es hier kein warmes Wasser?|1. Can I have a glass of water? 2. A coke and two water, please! 3. Is there no hot water here? 
haben|VERB|2021/04/17|2021/04/17|1|||
ich|PRON|2021/04/17|2021/04/17|1|||
gemeinsam|ADV|2021/04/17|2021/04/17|1|gemeinsam|1. Du musst die Wohnung renovieren? Ich helfe dir. Wir können das gemeinsam machen. 2. Wir benutzen die Garage gemeinsam mit dem Nachbarn.|1. You have to renovate the apartment? I'll help you. We can do that together. 2. We use the garage together with the neighbor. 
sein|AUX|2021/04/17|2021/04/17|1|auseinander|Wir wohnen nicht weit auseinander.|We do not live far apart. 
ich|PRON|2021/04/17|2021/04/17|1|||
möglich|ADV|2021/04/17|2021/04/17|1|||
ich|PRON|2021/04/17|2021/04/17|1|||
unter|ADP|2021/04/17|2021/04/17|1|||
Tausende|NOUN|2021/04/17|2021/04/17|1|||
erkennen|VERB|2021/04/17|2021/04/17|1|||
Eine|DET|2021/04/17|2021/04/17|1|||
sechsjährige|ADJ|2021/04/17|2021/04/17|1|||
Studie|NOUN|2021/04/17|2021/04/17|1|||
versuchen|VERB|2021/04/17|2021/04/17|1|versuchen, versucht, versuchte, hat versucht|1. Haben Sie es schon mal mit diesem Mittel versucht? 2. Ich habe immer wieder versucht, Sie zu erreichen. 3. Versuchen Sie doch mal meinen Apfelkuchen.|1. Have you ever tried with this means? 2. I have always tried to reach her. 3. Try my apple pie. 
dies|DET|2021/04/17|2021/04/17|1|||
Frage|NOUN|2021/04/17|2021/04/17|1|die Frage, -n|1. Ich habe Ihre Frage leider nicht verstanden. 2. Das kommt gar nicht infrage!|1. Unfortunately I did not understand your question. 2. That does not matter at all! 
beantworten|VERB|2021/04/17|2021/04/17|1|beantworten, beantwortet, beantwortete, hat beantwortet|Sie haben meine Frage leider nicht beantwortet.|Unfortunately, you did not answer my question. 
In|ADP|2021/04/17|2021/04/17|1|die Intelligenz|Meine Kinder haben in der Schule einen Intelligenztest gemacht.|My children have made an intelligence test at school. 
der|DET|2021/04/17|2021/04/17|1|||
Bewusstsein|NOUN|2021/04/17|2021/04/17|1|||
dass|SCONJ|2021/04/17|2021/04/17|6|||
Innovationsfähigkeit|NOUN|2021/04/17|2021/04/17|1|||
einen|DET|2021/04/17|2021/04/17|1|||
